imdb_id,bechdel_rating,bechdel_dubious,bechdel_pass,movie_title,title_year,genres,imdb_score,director_name,gross,content_rating,budget,actor_1_name,plot_keywords
1228705,3.0,0.0,True,Iron Man 2,2010,Action|Adventure|Sci-Fi,7.0,Jon Favreau,312057433.0,PG-13,200000000.0,Robert Downey Jr.,hammer|military|monaco|revenge|tony stark
1212436,3.0,0.0,True,The Back-up Plan,2010,Comedy|Romance,5.3,Alan Poul,37481242.0,PG-13,35000000.0,Danneel Ackles,artificial insemination|baby|cheese|chick flick|pet shop
1470023,1.0,0.0,False,MacGruber,2010,Action|Comedy|Romance,5.5,Jorma Taccone,8460995.0,R,10000000.0,Jasper Cole,colonel|lieutenant|nuclear warhead|team|washington d.c.
1139328,2.0,0.0,False,The Ghost Writer,2010,Mystery|Thriller,7.2,Roman Polanski,15523168.0,PG-13,45000000.0,Jim Belushi,british prime minister|death|island|memoir|writer
1017451,3.0,0.0,True,The Runaways,2010,Biography|Drama|Music,6.6,Floria Sigismondi,3571735.0,R,10000000.0,Kristen Stewart,band|box office flop|critically bashed|historically inaccurate|revisionist history
1261945,3.0,0.0,True,Sex and the City 2,2010,Comedy|Drama|Romance,4.3,Michael Patrick King,95328937.0,R,100000000.0,Chris Noth,abu dhabi|box office hit|muslim|nanny|united arab emirates
1037705,3.0,0.0,True,The Book of Eli,2010,Action|Adventure|Drama|Thriller,6.9,Albert Hughes,94822707.0,R,80000000.0,Denzel Washington,blind|book|long take|post apocalypse|water
1399683,3.0,0.0,True,Winter's Bone,2010,Drama,7.2,Debra Granik,6531491.0,R,2000000.0,Jennifer Lawrence,bail|crystal meth|family relationships|female protagonist|search for father
1570989,3.0,0.0,True,Tiny Furniture,2010,Comedy|Drama|Romance,6.3,Lena Dunham,389804.0,Not Rated,65000.0,Lena Dunham,adult returns home|girl with glasses|hipster|shower|title directed by female
1038686,3.0,0.0,True,Legion,2010,Action|Fantasy|Horror,5.2,Scott Stewart,40168080.0,R,26000000.0,Dennis Quaid,angel|diner|faith|human race|religious faith
